timestamp,Left Distance (cm),Right Distance (cm)
0,19,282
200,18,283
400,18,282
600,18,283
800,18,283
1000,18,282
1200,18,283
1400,19,282
1600,18,282
1800,19,282
2000,18,283
2200,18,282
2400,18,284
2600,18,283
2800,18,283
3000,18,283
3200,18,283
3400,18,282
3600,18,283
3800,18,282
4000,18,284
4200,18,283
4400,18,283
4600,18,283
4800,19,284
5000,18,283
5200,19,285
5400,20,280
5600,15,283
5800,15,282
6000,15,283
6200,14,283
6400,14,285
6600,14,283
6800,14,283
7000,14,284
7200,14,284
7400,14,285
7600,14,284
7800,14,283
8000,17,281
8200,306,306
8400,303,16
8600,303,16
8800,304,306
9000,304,307
9200,303,307
9400,306,306
9600,303,16
9800,303,16
10000,303,16
10200,303,16
10400,304,16
10600,304,16
10800,303,16
11000,304,16
11200,304,16
11400,304,15
11600,303,16
11800,304,16
12000,304,15
12200,304,15
12400,303,16
12600,304,15
12800,305,15
13000,304,16
13200,303,15
13400,305,15
13600,305,15
13800,304,15
14000,304,16
14200,303,16
14400,303,16
14600,304,16
14800,303,307
15000,305,15
15200,304,15
15400,303,15
15600,304,16
15800,303,16
16000,303,16
16200,303,307
16400,305,307
16600,305,306
16800,306,307
17000,305,307
17200,305,307
17400,306,307
17600,306,311
17800,311,311
18000,306,311
18200,306,312
18400,308,313
18600,22,282
18800,22,283
19000,23,283
19200,22,283
19400,22,284
19600,21,285
19800,21,287
20000,22,284
20200,23,284
20400,22,287
20600,22,284
20800,22,284
21000,23,283
21200,23,284
21400,22,284
21600,21,285
21800,21,285
22000,21,285
22200,21,285
22400,22,284
22600,21,285
22800,21,284
23000,21,284
23200,21,285
23400,21,284
23600,21,284
23800,21,284
24000,21,286
24200,21,285
24400,21,284
24600,21,284
24800,20,283
25000,20,283
25200,20,283
25400,19,290
25600,19,285
25800,19,287
26000,19,284
26200,19,285
26400,19,284
26600,21,283
26800,310,313
27000,310,22
27200,310,22
27400,310,23
27600,311,24
27800,310,315
28000,308,312
28200,310,310
28400,310,310
28600,311,310
28800,317,310
29000,311,312
29200,312,311
29400,311,311
29600,310,311
29800,310,311
30000,310,311
30200,312,310
30400,316,312
30600,-1,-1
30800,-1,-1
31000,-1,-1
31200,-1,-1
31400,-1,-1
31600,-1,-1
31800,-1,-1
32000,-1,-1
32200,311,307
32400,308,309
32600,308,313
32800,308,310
33000,311,311
33200,310,312
33400,-1,315
33600,85,-1
33800,32,50
34000,44,53
34200,41,40
34400,39,37
34600,38,37
34800,37,38
35000,36,37
35200,35,37
35400,35,37
35600,36,37
35800,35,37
36000,35,38
36200,34,36
36400,35,35
36600,36,36
36800,39,36
37000,43,43
37200,28,60
37400,29,39
37600,30,37
37800,26,27
38000,29,28
38200,30,28
38400,29,215
38600,32,29
38800,353,-1
39000,319,35
39200,313,312
39400,309,314
39600,309,19
39800,308,19
40000,308,18
40200,308,312
40400,308,313
40600,309,313
40800,313,23
41000,317,23
41200,316,22
41400,308,23
41600,308,22
41800,307,313
42000,23,280
42200,51,251
42400,18,285
42600,23,23
42800,19,22
43000,19,287
43200,23,21
43400,28,20
43600,308,19
43800,25,282
44000,23,20
44200,22,283
44400,22,281
44600,27,23
44800,26,23
45000,28,23
45200,22,283
45400,21,283
45600,26,281
45800,21,24
46000,310,312
46200,19,20
46400,24,281
46600,311,313
46800,312,312
47000,309,24
47200,310,24
47400,309,23
47600,309,24
47800,309,24
48000,309,20
48200,309,21
48400,28,20
48600,309,20
48800,29,20
49000,31,19
49200,310,19
49400,309,18
49600,309,18
49800,310,18
50000,310,19
50200,311,19
50400,309,19
50600,308,19
50800,309,19
51000,309,20
51200,309,54
51400,309,22
51600,24,18
51800,311,19
52000,19,289
52200,26,23
52400,-1,312
52600,22,23
52800,18,312
53000,312,312
53200,18,21
53400,18,287
53600,19,23
53800,19,287
54000,19,286
54200,20,20
54400,21,20
54600,21,19
54800,24,20
55000,310,20
55200,310,22
55400,310,315
55600,311,22
55800,311,23
56000,310,22
56200,310,22
56400,23,22
56600,20,20
56800,18,24
57000,19,286
57200,20,286
57400,23,285
57600,20,284
57800,19,286
58000,19,285
58200,53,32
58400,312,351
58600,54,256
58800,19,283
59000,19,286
59200,21,22
59400,310,20
59600,309,23
59800,311,18
60000,20,21
60200,310,17
60400,312,312
60600,311,311
60800,309,314
61000,309,313
61200,310,313
61400,310,315
61600,310,311
61800,311,314
62000,320,317
62200,320,313
62400,311,314
62600,308,321
62800,313,312
63000,295,297
63200,292,291
63400,286,287
63600,282,285
63800,283,282
64000,286,284
64200,291,284
64400,285,285
64600,288,296
64800,292,294
65000,296,295
65200,298,306
65400,301,300
65600,308,307
65800,309,307
66000,305,308
66200,303,308
66400,304,309
66600,304,307
66800,306,310
67000,306,308
67200,307,309
67400,305,308
67600,306,307
67800,307,308
68000,307,307
68200,304,304
68400,299,300
68600,295,296
68800,294,294
69000,295,295
69200,295,296
69400,294,301
69600,294,294
69800,294,295
70000,293,295
70200,293,300
70400,293,295
70600,294,295
70800,294,296
71000,294,296
71200,293,295
71400,294,295
71600,294,295
71800,293,295
72000,294,295
72200,294,295
72400,294,295
72600,293,296
72800,293,295
73000,293,295
73200,294,296
73400,294,295
73600,294,296
73800,295,301
74000,294,295
74200,293,295
74400,293,295
74600,294,300
74800,293,295
75000,294,295
75200,293,295
75400,294,296
75600,294,295
75800,294,295
76000,294,295
76200,294,295
76400,293,296
76600,293,295
76800,294,295
77000,293,296
77200,293,295
77400,294,295
77600,293,295
77800,294,296
78000,294,293
78200,292,293
78400,292,293
78600,296,299
78800,312,308
79000,318,312
79200,313,313
79400,314,313
79600,315,15
79800,311,18
80000,19,286
80200,21,17
80400,20,21
80600,20,19
80800,19,20
81000,20,22
81200,20,23
81400,24,20
81600,20,20
81800,20,20
82000,23,19
82200,20,19
82400,20,19
82600,20,20
82800,21,19
83000,20,18
83200,20,18
83400,20,18
83600,20,18
83800,20,18
84000,20,18
84200,20,18
84400,20,18
84600,20,18
84800,20,18
85000,20,18
85200,20,18
85400,20,18
85600,20,18
85800,20,18
86000,20,18
86200,20,18
86400,20,18
86600,20,18
86800,20,18
87000,20,18
87200,21,19
87400,21,19
87600,21,19
87800,20,19
88000,20,19
88200,20,19
88400,20,19
88600,20,19
